"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3428738,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
3468866,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
3508756,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
3548749,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
3588742,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3618783,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
3668799,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3698840,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
3748650,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
3778876,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
3828916,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
3858693,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
3908806,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3938704,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
3988808,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4018841,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
4068962,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4098740,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
4148828,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
4178710,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
4228752,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
4258753,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
4308715,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4338693,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
4388782,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4418822,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
4468823,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
4498864,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
4548745,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
4578747,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
4628716,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4658717,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
4708861,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
4738735,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
4788856,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
4818769,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
4868970,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
4898748,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
4948733,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
4978734,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
5028800,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
5058642,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
5108731,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5138732,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
5188647,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5218768,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
5268761,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
5298746,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
5348731,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
5379637,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
5428743,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
5458752,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
5508737,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
5538762,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
5588724,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
