Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
490002,000001D0,false,Rx,0,8,3C,76,67,C3,9C,9E,CD,82,
492807,00000130,false,Rx,0,5,45,43,21,8F,98,00,00,00,
493484,000000C0,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
494402,00000349,false,Rx,0,5,18,0C,72,0A,00,00,00,00,
496174,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
513823,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
519093,000001B4,false,Rx,0,8,00,D0,E2,F1,04,32,FE,90,
520657,000004E3,false,Rx,0,8,72,42,FD,01,FF,FF,FF,FF,
546040,000001D2,false,Rx,0,5,D2,0C,8F,50,F0,00,00,00,
547983,000001A6,false,Rx,0,8,00,00,00,00,00,00,D8,F3,
564571,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
565773,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
569651,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
570876,000001A0,false,Rx,0,8,00,80,00,E0,00,14,A0,B7,
590008,000001D0,false,Rx,0,8,3C,76,67,C3,9C,9E,CD,82,
593011,00000130,false,Rx,0,5,45,43,21,8F,A9,00,00,00,
596418,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
597093,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
603145,000004F2,false,Rx,0,8,78,42,FF,01,00,0D,02,00,
613835,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
619333,000001B4,false,Rx,0,8,00,D0,E2,F2,04,32,FE,91,
629672,00000328,false,Rx,0,6,0E,39,1D,01,FF,FF,00,00,
640777,000001FB,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
647994,000001A6,false,Rx,0,8,00,00,00,00,00,00,68,F5,
659516,000000C4,false,Rx,0,7,46,FF,FC,00,00,FF,F1,00,
664590,000000AA,false,Rx,0,8,5F,55,07,00,B8,0B,94,00,
665794,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
669661,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
670895,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
672119,000001A0,false,Rx,0,8,00,80,00,C0,00,14,00,F6,
676563,000000C8,false,Rx,0,6,46,FF,9C,00,00,5C,00,00,
679700,000000D7,false,Rx,0,2,21,FF,00,00,00,00,00,00,
686419,000004F8,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
689959,000001D0,false,Rx,0,8,3C,76,68,C3,9C,9E,CD,82,
692796,00000130,false,Rx,0,5,45,43,21,8F,BA,00,00,00,
