Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39723381,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39724053,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
39726205,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
39726431,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
39727824,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
39729510,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
39729517,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C8,
39733341,00000563,false,Rx,0,8,AA,AA,AA,AA,82,2A,00,00,
39738090,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39738315,00000424,false,Rx,0,8,11,40,56,82,3D,6C,AA,3F,
39738547,00000425,false,Rx,0,8,24,BA,44,9C,42,1A,ED,0C,
39743280,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39747340,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
39749583,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39753307,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
39758239,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C8,
39763345,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
39769727,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39773411,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
39778160,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39783280,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39788228,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39798229,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39803363,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
39808147,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39878167,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C9,
39883287,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39888239,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C9,
39893405,00000569,false,Rx,0,8,AA,C0,80,02,00,00,00,00,
39893648,00000664,false,Rx,0,8,02,83,06,32,F3,00,00,00,
39898197,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C7,
39903312,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
39908239,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39913378,00000568,false,Rx,0,8,00,02,80,0A,00,00,A8,AA,
39913612,00000663,false,Rx,0,8,02,00,00,00,00,00,00,00,
39918163,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39923280,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39923889,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
39926179,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
39926596,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
39927771,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
39928010,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
39928247,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C4,
39933307,00000563,false,Rx,0,8,AA,AA,AA,AA,82,2A,00,00,
39938122,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
39938347,00000424,false,Rx,0,8,11,40,56,82,3D,6C,AA,3F,
39938580,00000425,false,Rx,0,8,24,BA,44,9C,42,1A,ED,0C,
39943326,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39947315,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
39948114,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
39953449,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
39958087,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C5,
39963396,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
39968154,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
39973370,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
39978299,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39983414,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39988168,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39998250,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40003375,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40008300,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40018170,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40023290,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
40023900,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
40026197,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
40026423,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
40027784,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
40028009,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
40028234,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40038155,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40038384,00000424,false,Rx,0,8,11,40,56,82,3D,6C,AA,3F,
40038610,00000425,false,Rx,0,8,24,BA,44,9C,42,1A,ED,0C,
40043348,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40047341,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
40048137,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
40053484,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
40058095,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40063401,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40068152,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40073294,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
40078229,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C4,
40083406,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40088218,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40093385,00000569,false,Rx,0,8,AA,C0,80,02,00,00,00,00,
40098136,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
40103442,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40108211,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
40113383,00000568,false,Rx,0,8,00,02,80,0A,00,00,A8,AA,
40118127,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40123425,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40124030,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
40126325,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
40126558,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
40127919,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
40128144,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
40128368,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C8,
40133434,00000563,false,Rx,0,8,AA,AA,AA,AA,82,2A,00,00,
40138065,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40138476,00000424,false,Rx,0,8,11,40,56,82,3D,6C,AA,3F,
40138750,00000425,false,Rx,0,8,24,BA,44,9C,42,1A,ED,0C,
40138755,000004AE,false,Rx,0,8,D2,B2,3C,A0,88,5A,78,84,
40138980,00000659,false,Rx,0,4,2B,33,C4,30,00,00,00,00,
40139208,000004AF,false,Rx,0,5,65,39,4B,50,00,00,00,00,
40143392,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
40147197,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
40148175,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40153430,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
40158091,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40163402,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40168159,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40173454,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
40178222,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40183341,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40188103,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40198156,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
40203467,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40208270,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40208885,00000630,false,Rx,0,8,00,00,00,00,00,00,00,00,
40214040,0000062D,false,Rx,0,8,00,00,00,00,00,00,00,00,
40218222,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
40219018,000006BD,false,Rx,0,8,00,00,00,00,00,00,00,00,
40223381,00000377,false,Rx,0,8,05,9D,03,39,3E,3C,3F,22,
40223987,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
40226281,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
