Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1729083,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
1731754,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
1731985,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1732395,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1732621,0000019E,false,Rx,0,8,00,EA,CF,FC,FE,61,00,B7,
1732859,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
1734536,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1738462,000000AA,false,Rx,0,8,66,38,FE,00,00,00,84,00,
1738688,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
1738926,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
1739151,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
1742018,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1748439,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
1748665,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
1748905,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
1749130,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
1751821,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
1752053,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1752277,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1752501,0000019E,false,Rx,0,8,00,EA,CF,FC,FE,61,00,B7,
1752728,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
1754828,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1758493,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
1758760,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
1758991,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
1759215,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
1761889,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1762299,000001D2,false,Rx,0,5,E1,0C,8F,40,F0,00,00,00,
1768527,000000AA,false,Rx,0,8,6C,3E,FE,00,00,00,84,00,
