Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1325622,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1325863,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
1326088,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
1326313,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
1330247,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
1330253,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1330259,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1330264,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1330514,000001A0,false,Rx,0,8,00,80,00,60,01,14,E0,78,
1330750,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1333845,00000130,false,Rx,0,5,45,43,21,8F,44,00,00,00,
1335629,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1335867,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
1336092,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
1336316,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
1336541,000001D2,false,Rx,0,5,E1,0C,8F,60,F0,00,00,00,
1339591,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1339829,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1342704,000001FB,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
1345579,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1345817,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
1346042,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
1346267,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
1350409,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
1350416,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1350422,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1350427,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1350663,000001A0,false,Rx,0,8,00,80,00,70,01,14,00,A7,
1350901,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1355551,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1355789,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
1356014,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
1356240,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
1359553,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1365618,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
1365860,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
1366085,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
1366310,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
1370497,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
1370503,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1370508,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1370514,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1370519,000001A0,false,Rx,0,8,00,80,00,60,01,14,10,A7,
1370763,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1375616,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1375856,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
1376081,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
1376306,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
1379580,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1380188,000001D0,false,Rx,0,8,3C,76,6C,C3,9C,9E,CD,82,
1385490,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1385722,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1385954,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1386178,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1390508,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
1390514,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1390519,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1390525,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1390530,000001A0,false,Rx,0,8,00,80,00,60,01,14,20,B7,
1390768,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1391009,000001A6,false,Rx,0,8,00,00,00,00,00,00,30,FF,
1391244,000004A9,false,Rx,0,8,30,42,FF,FF,FF,FF,FF,FF,
1395651,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1395884,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1396109,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1396334,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1399566,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1405634,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1405873,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1406099,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1406323,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1407871,000001B4,false,Rx,0,8,00,D0,E2,FC,44,32,FE,DB,
1410730,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
1410737,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1410742,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1410747,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1410753,000001A0,false,Rx,0,8,00,80,00,60,01,14,30,C7,
1410758,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1415563,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1415807,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1416031,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1416256,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1419490,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1425557,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1425795,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1426020,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1426245,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1430812,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
1430818,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1430823,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1430829,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
